"Status","Date and Time","Response Time (ms)","Error","Location"
"up","10/12/2017 06:33:24PM","124 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 06:32:24PM","132 ms","OK","Philadelphia (PA)"
"up","10/12/2017 06:31:24PM","121 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 06:30:24PM","223 ms","OK","London (UK)"
"up","10/12/2017 06:29:24PM","233 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 06:28:24PM","87 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 06:27:24PM","640 ms","OK","Athens (Greece)"
"up","10/12/2017 06:26:24PM","570 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 06:25:24PM","45 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 06:24:24PM","236 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 06:23:24PM","116 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 06:22:24PM","84 ms","OK","Philadelphia (PA)"
"up","10/12/2017 06:21:24PM","139 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 06:20:24PM","187 ms","OK","London (UK)"
"up","10/12/2017 06:19:24PM","79 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 06:18:24PM","57 ms","OK","Tampa 2 (FL)"
"up","10/12/2017 06:17:24PM","714 ms","OK","Athens (Greece)"
"up","10/12/2017 06:16:24PM","733 ms","OK","Zurich (Switzerland)"
"up","10/12/2017 06:15:24PM","50 ms","OK","Stockholm 3 (Sweden)"
"up","10/12/2017 06:14:24PM","232 ms","OK","Toronto 5 (Canada)"
"up","10/12/2017 06:13:24PM","106 ms","OK","St. Louis 3 (MO)"
"up","10/12/2017 06:12:24PM","92 ms","OK","Philadelphia (PA)"
"up","10/12/2017 06:11:24PM","102 ms","OK","Strasbourg 5 (France)"
"up","10/12/2017 06:10:24PM","189 ms","OK","London (UK)"
"up","10/12/2017 06:09:24PM","119 ms","OK","Dusseldorf (Germany)"
"up","10/12/2017 06:08:24PM","73 ms","OK","Tampa 2 (FL)"
